StateFIPS,State,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014","WIC participants, FY 2015",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014","National School Lunch Program participants, FY 2015",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014","School Breakfast Program participants, FY 2015",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014","Child and Adult Care participants, FY 2015",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","Summer Food participants, FY 2015","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014","State Population,  2015","State Population,  2016"
51,Virginia,"160,150","156,085","159,137","155,935","144,598","139,632","752,709","756,503","749,115","717,618","708,105","702,670","234,396","253,730","271,107","272,470","276,308","284,825","58,915","67,736","70,997","65,338","66,058","68,506","51,798","58,006","54,339","55,519","57,306","57,328","7,882,590","8,023,953","8,096,604","8,186,628","8,260,405","8,326,289","8,382,993","8,411,808"
53,Washington,"193,387","192,565","194,706","191,753","183,405","176,133","532,526","545,986","540,435","519,599","523,556","521,071","168,120","179,861","186,266","183,975","187,540","189,557","70,430","69,038","75,387","65,756","71,528","79,766","41,455","39,587","41,012","40,365","46,219","43,904","6,664,195","6,742,950","6,830,038","6,895,318","6,971,406","7,061,530","7,170,351","7,288,000"
54,West Virginia,"53,060","49,117","47,891","46,402","43,763","41,701","207,758","205,872","201,333","194,032","192,217","194,383","93,143","95,849","114,120","116,981","131,986","150,485","22,614","21,945","24,123","24,984","24,069","24,444","15,111","16,917","13,251","11,930","12,290","10,118","1,819,777","1,854,368","1,855,364","1,856,680","1,854,304","1,850,326","1,844,128","1,831,102"
55,Wisconsin,"127,891","121,516","118,585","113,763","108,901","105,504","594,850","606,117","596,222","562,217","550,476","541,726","135,728","166,478","172,949","173,059","177,052","185,070","64,369","63,650","60,128","59,572","61,315","61,243","44,856","82,427","87,538","88,294","97,600","94,796","5,654,774","5,691,659","5,711,767","5,724,554","5,742,713","5,757,564","5,771,337","5,778,708"
56,Wyoming,"13,338","12,997","12,602","11,980","11,629","10,995","56,424","57,420","56,578","53,764","52,885","51,854","14,276","15,747","15,703","14,914","14,860","14,683","9,533","9,338","9,428","8,244","8,221","8,070","2,572","4,196","3,079","3,516","3,529","4,334","544,270","564,554","568,158","576,626","582,658","584,153","586,107","585,501"
,,,,,,,,,,,,,,,--,--,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
